3.351700856078034718e+01,3.335755444033534900e+01,3.106980775368658954e+01,3.127762756556543522e+01,3.097045801330642334e+01,3.064866326178790246e+01,2.970633056376035341e+01,2.955861731587430086e+01,2.925420291908536541e+01,2.884583592409254038e+01,2.881252335997146474e+01,2.840191419356624536e+01,2.903355319105649457e+01,3.012178290439224071e+01,2.921622359558795878e+01
3.864583256040350534e+01,3.864583256040350534e+01,3.864583256040350534e+01,3.864583256040350534e+01,3.864583256040350534e+01,3.864583256040350534e+01,3.864583256040350534e+01,3.864583256040350534e+01,3.864583256040350534e+01,3.864583256040350534e+01,3.864583256040350534e+01,3.864583256040350534e+01,3.864583256040350534e+01,3.864583256040350534e+01,3.864583256040350534e+01
1.457189310441288654e+01,1.522498663293870003e+01,1.597270600673899388e+01,1.621191393561686667e+01,1.639666910145941259e+01,1.665202664447525294e+01,1.667283769916191360e+01,1.649579096802832368e+01,1.710064481383151502e+01,1.653219278758376731e+01,1.686059282236091761e+01,1.680771513140958362e+01,1.703022977461404608e+01,1.981512846149442453e+01,1.966393360332211770e+01
2.633629822745835369e+01,2.633629822745835369e+01,2.633629822745835369e+01,2.633629822745835369e+01,2.633629822745835369e+01,2.633629822745835369e+01,2.633629822745835369e+01,2.633629822745835369e+01,2.633629822745835369e+01,2.633629822745835369e+01,2.633629822745835369e+01,2.633629822745835369e+01,2.633629822745835369e+01,2.633629822745835369e+01,2.633629822745835369e+01
8.016309024711790698e+01,8.354198072679864140e+01,7.778867259384824706e+01,7.984226212695664060e+01,7.702269745700367309e+01,7.556330768948681964e+01,7.243030753901727792e+01,7.254497227433532203e+01,6.894565669093778126e+01,7.035803045855911364e+01,6.932981543609130881e+01,6.762324068327050952e+01,7.143276956807042666e+01,6.772080522830326288e+01,6.837362177149857700e+01
8.495259991950136680e+01,8.495259991950136680e+01,8.495259991950136680e+01,8.495259991950136680e+01,8.495259991950136680e+01,8.495259991950136680e+01,8.495259991950136680e+01,8.495259991950136680e+01,8.495259991950136680e+01,8.495259991950136680e+01,8.495259991950136680e+01,8.495259991950136680e+01,8.495259991950136680e+01,8.495259991950136680e+01,8.495259991950136680e+01
7.537513429255221276e+00,1.076577699602867000e+01,1.281179816473828836e+01,1.258507367185933212e+01,1.322002842364436681e+01,1.364022563952723921e+01,1.393573414288144185e+01,1.349290418792423374e+01,1.402384303206524230e+01,1.349205832688225826e+01,1.384783845749183406e+01,1.325065976362755649e+01,1.366279634299429802e+01,1.692466219210047740e+01,1.699933566036700583e+01
1.742295795250959500e+01,1.742295795250959500e+01,1.742295795250959500e+01,1.742295795250959500e+01,1.742295795250959500e+01,1.742295795250959500e+01,1.742295795250959500e+01,1.742295795250959500e+01,1.742295795250959500e+01,1.742295795250959500e+01,1.742295795250959500e+01,1.742295795250959500e+01,1.742295795250959500e+01,1.742295795250959500e+01,1.742295795250959500e+01
7.563647951019711435e+00,1.056322857066302312e+01,1.275486242416461380e+01,1.250967053267407003e+01,1.321538494104982320e+01,1.365254482892535037e+01,1.395770433685486545e+01,1.356089646757718192e+01,1.409339789673767029e+01,1.343964417556705904e+01,1.387165774809939833e+01,1.336252448353726052e+01,1.362555535695190656e+01,1.698953090939277999e+01,1.710153090606104698e+01
1.686620186316588743e+01,1.686620186316588743e+01,1.686620186316588743e+01,1.686620186316588743e+01,1.686620186316588743e+01,1.686620186316588743e+01,1.686620186316588743e+01,1.686620186316588743e+01,1.686620186316588743e+01,1.686620186316588743e+01,1.686620186316588743e+01,1.686620186316588743e+01,1.686620186316588743e+01,1.686620186316588743e+01,1.686620186316588743e+01
